Pmid,Title,Study Type,Key Words,Pub year,Relevance GT,Relevance PRED
33129672,Device outcomes in pediatric sacral neuromodulation: A single center series of 187 patients.,CohortStudy,Implantable neurostimulators,2020,0.0,1.0
33038597,Neuromodulation effects of deep brain stimulation on beta rhythm: A longitudinal local field potential study.,ObservationalStudy,Basal ganglia,,0.0,1.0
32989306,Tutorial: a computational framework for the design and optimization of peripheral neural interfaces.,ObservationalStudy,,2020,0.0,1.0
32746060,Magnetic Control of a Flexible Needle in Neurosurgery.,ObservationalStudy,,2020,0.0,1.0
32709183,10 kHz High-Frequency Spinal Cord Stimulation for Chronic Thoracic Pain: A Multicenter Case Series and a Guide for Optimal Anatomic Lead Placement.,CaseSeries,,2020,0.0,1.0
32689698,Innovations in the Neurosurgical Management of Epilepsy.,SystematicReview,Conformal electrodes,2020,1.0,1.0
32689697,Challenges of Epilepsy Surgery.,SystematicReview,Epilepsy surgery,2020,1.0,1.0
32689696,Foundations of the Diagnosis and Surgical Treatment of Epilepsy.,SystematicReview,Diagnosis,2020,0.0,1.0
32581744,Neurophysiological Correlates of Gait in the Human Basal Ganglia and the PPN Region in Parkinson's Disease.,CohortStudy,DBS,2020,1.0,1.0
32516574,"Magnetoelectric Materials for Miniature, Wireless Neural Stimulation at Therapeutic Frequencies.",ObservationalStudy,fully implanted,2020,1.0,1.0
32462381,Update on Implantable PTNS Devices.,SystematicReview,Implantable,2020,1.0,1.0
32353166,Seizure freedom as an outcome in epilepsy treatment clinical trials.,SystematicReview,antiepileptic drugs,2020,0.0,1.0
32333552,Recommendations for Deep Brain Stimulation Device Management During a Pandemic.,SystematicReview,COVID-19,2020,0.0,1.0
32313193,Morphing electronics enable neuromodulation in growing tissue.,ObservationalStudy,,2020,1.0,1.0
32271689,3-Year Followup of a New Implantable Tibial Nerve Stimulator for the Treatment of Overactive Bladder Syndrome.,RCT,electric stimulation,2020,1.0,1.0
32158975,Sleep disturbance changes in women after treatment of refractory overactive bladder with sacral neuromodulation.,CohortStudy,Implantable neurostimulators,2020,1.0,1.0
32139653,Differentiating tic electrophysiology from voluntary movement in the human thalamocortical circuit.,ObservationalStudy,,2020,0.0,1.0
32076132,A wireless millimetre-scale implantable neural stimulator with ultrasonically powered bidirectional communication.,ObservationalStudy,,2020,1.0,1.0
31965667,FDA Perspectives on the Regulation of Neuromodulation Devices.,SystematicReview,Deep brain stimulation,2020,1.0,1.0
31946710,An Energy-Efficient Implantable-Neural-Stimulator System with Wireless Charging and Dynamic Voltage Output.,ObservationalStudy,,2019,1.0,1.0
31946173,General Voltage Injection Device for Immunity Test of Active Implantable Neurostimulators to Electromagnetic Fields over the Frequency Range 16.6Hz to 80MHz.,ObservationalStudy,,2019,1.0,1.0
31899396,Cytotoxic Lesion in the Splenium of Corpus Callosum Associated with Intracranial Infection After Deep Brain Stimulation.,Other,Corpus callosum,2020,0.0,1.0
31804975,Impact of neuroanatomical variations and electrode orientation on stimulus current in a device for migraine: a computational study.,ObservationalStudy,,2019,1.0,1.0
31786379,Assessment of Deep Brain Stimulation Implantation Surgery: A Practical Scale.,ObservationalStudy,Assessment,2020,0.0,1.0
31775407,"Effectiveness of ""Transgrade"" Epidural Technique for Dorsal Root Ganglion Stimulation. A Retrospective, Single-Center, Case Series for Chronic Focal Neuropathic Pain.",CaseSeries,,2019,0.0,1.0
31759615,Anesthetic management of the diaphragmatic pacemaker placement surgery. Our experience in the Institut Guttmann.,SystematicReview,Amyotrophic lateral sclerosis,2019,0.0,1.0
31756502,Safety of Noncontrast Imaging-Guided Deep Brain Stimulation Electrode Placement in Parkinson Disease.,ObservationalStudy,Contrast,2020,1.0,1.0
31739771,Refined Sphenopalatine Ganglion Stimulator Placement and Intensity Setting to Augment Blood Flow and Neurologic Function.,RCT,biomarker,2019,1.0,1.0
31710411,The Impact of Tobacco Smoking on Spinal Cord Stimulation Effectiveness in Complex Regional Pain Syndrome Patients.,CohortStudy,Chronic pain,2020,0.0,1.0
31701891,"Safety and efficacy of sphenopalatine ganglion stimulation for chronic cluster headache: a double-blind, randomised controlled trial.",RCT,,2019,1.0,1.0
31685241,Concepts in Neural Stimulation: Electrical and Optical Modulation of the Auditory Pathways.,SystematicReview,Neural stimulation techniques,2020,0.0,1.0
31685239,"Vagal Nerve Stimulation: Indications, Implantation, and Outcomes.",SystematicReview,Depression,2020,1.0,1.0
31685237,Cranial Nerve Stimulation for Olfaction (Cranial Nerve 1).,SystematicReview,Electrode,2020,0.0,1.0
31677739,Vestibular Implantation and the Feasibility of Fluoroscopy-Guided Electrode Insertion.,SystematicReview,Bilateral vestibulopathy,2020,0.0,1.0
31648825,Recurrent Laryngeal Nerve Stimulator.,SystematicReview,Implantable neurostimulator,2020,1.0,1.0
31648824,Central Effects of Cranial Nerve Stimulation.,SystematicReview,Central processing,2020,1.0,1.0
31597122,New life for old wires: electrochemical sensor method for neural implants.,ObservationalStudy,,2019,0.0,1.0
31587955,An exoskeleton controlled by an epidural wireless brain-machine interface in a tetraplegic patient: a proof-of-concept demonstration.,ObservationalStudy,,2019,1.0,1.0
31584846,Single Institutional Experience with Single Stage Sacral Neuromodulation: Cost Savings and Outcomes in a Contemporary Case Series.,CaseSeries,cost savings,2020,0.0,1.0
31574517,Patients with Sacral Neuromodulation: What Are the Factors Affecting Their Therapy Satisfaction?,ObservationalStudy,Lower urinary tract dysfunction,2019,1.0,1.0
31505718,[Sacral neuromodulation preliminary outcomes in male patients with idiopathic dysuria].,ObservationalStudy,Diagnosis,2019,1.0,1.0
31498396,Spinal Cord Stimulation vs Conventional Therapies for the Treatment of Chronic Low Back and Leg Pain: A Systematic Review of Health Care Resource Utilization and Outcomes in the Last Decade.,SystematicReview,Chronic Low Back Pain,2019,1.0,1.0
31495733,Directional DBS leads show large deviations from their intended implantation orientation.,CohortStudy,Deep brain stimulation,2019,0.0,1.0
31484132,The Microbead: A 0.009 mm3 Implantable Wireless Neural Stimulator.,ObservationalStudy,,2019,1.0,1.0
31466022,Comparison of posterior subthalamic area deep brain stimulation for tremor using conventional landmarks versus directly targeting the dentatorubrothalamic tract with tractography.,RCT,Diffusion tensor imaging and tractography,2019,1.0,1.0
31419794,"A multicenter, open-label, controlled trial on acceptance, convenience, and complications of rechargeable internal pulse generators for deep brain stimulation: the Multi Recharge Trial.",ObservationalStudy,DBS = deep brain stimulation,2019,1.0,1.0
31401488,Stability of a chronic implanted brain-computer interface in late-stage amyotrophic lateral sclerosis.,ObservationalStudy,Amyotrophic lateral sclerosis,2019,0.0,1.0
31399570,Ventral midbrain stimulation induces perceptual learning and cortical plasticity in primates.,ObservationalStudy,,2019,1.0,1.0
31388779,What Is New in Neuromodulation?,SystematicReview,LUTS,2019,1.0,1.0
31377911,Awake brain surgery in children-review of the literature and state-of-the-art.,SystematicReview,Awake brain surgery,2019,0.0,1.0
31368415,"Neuromodulation in urology, state of the art.",SystematicReview,Sacral neuromodulation,2019,1.0,1.0
31362277,"Electrical connectors for neural implants: design, state of the art and future challenges of an underestimated component.",SystematicReview,,2019,0.0,1.0
31358822,"Development of wirelessly-powered, extracranial brain activator (ECBA) in a large animal model for the future non-invasive human neuromodulation.",ObservationalStudy,,2019,1.0,1.0
31336436,New insights into bioelectronic medicines: A new approach to tackle diabetic peripheral neuropathy pain in clinics.,SystematicReview,Bioelectronic medicines,,0.0,1.0
31323175,"Anatomic Lead Placement Without Paresthesia Mapping Provides Effective and Predictable Therapy During the Trial Evaluation Period: Results From the Prospective, Multicenter, Randomized, DELIVERY Study.",RCT,Burst stimulation therapy,2020,1.0,1.0
31321763,Dexmedetomidine vs propofol as sedation for implantation of neurostimulators: A single-center single-blinded randomized controlled trial.,RCT,arousability,2019,1.0,1.0
